IATA	ID	Name	City	Country	ICAO
DLY	5916	Dillon's Bay Airport	Dillon's Bay	Vanuatu	NVVD
DLZ	6372	Dalanzadgad Airport	Dalanzadgad	Mongolia	ZMDZ
DMA	3562	Davis Monthan Air Force Base	Tucson	United States	KDMA
DMB	2911	Taraz Airport	Dzhambul	Kazakhstan	UADD
DMD	6262	Doomadgee Airport	Doomadgee	Australia	YDMG
DME	4029	Domodedovo International Airport	Moscow	Russia	UUDD
DMK	3157	Don Mueang International Airport	Bangkok	Thailand	VTBD
DMM	2064	King Fahd International Airport	Dammam	Saudi Arabia	OEDF
DMN	11830	Deming Municipal Airport	Deming	United States	KDMN
DMT	7406	Diamantino Airport	Diamantino	Brazil	SWDM
DMU	6174	Dimapur Airport	Dimapur	India	VEMR
DNA	2386	Kadena Air Base	Kadena	Japan	RODN
DND	540	Dundee Airport	Dundee	United Kingdom	EGPN
DNH	4308	Dunhuang Airport	Dunhuang	China	ZLDH
DNK	2941	Dnipropetrovsk International Airport	Dnepropetrovsk	Ukraine	UKDD
DNL	8318	Daniel Field	Augusta	United States	KDNL
DNN	8299	Dalton Municipal Airport	Dalton	United States	KDNN
DNP	4178	Tulsipur Airport	Dang	Nepal	VNDG
DNQ	12021	Deniliquin Airport	Deniliquin	Australia	YDLQ
DNR	1405	Dinard-Pleurtuit-Saint-Malo Airport	Dinard	France	LFRD
DNV	9191	Vermilion Regional Airport	Danville	United States	KDNV
DNZ	1699	?çardak Airport	Denizli	Turkey	LTAY
DOD	1178	Dodoma Airport	Dodoma	Tanzania	HTDO
DOG	1167	Dongola Airport	Dongola	Sudan	HSDN
DOK	2940	Donetsk International Airport	Donetsk	Ukraine	UKCC
DOL	1408	Deauville-Saint-Gatien Airport	Deauville	France	LFRG
DOM	2877	Melville Hall Airport	Dominica	Dominica	TDPD
DOP	4186	Dolpa Airport	Dolpa	Nepal	VNDP
DOU	7380	Dourados Airport	Dourados	Brazil	SSDO
DOV	3487	Dover Air Force Base	Dover	United States	KDOV
DPA	3699	Dupage Airport	West Chicago	United States	KDPA
DPL	4201	Dipolog Airport	Dipolog	Philippines	RPMG
DPO	6264	Devonport Airport	Devonport	Australia	YDPO
DPS	3940	Ngurah Rai (Bali) International Airport	Denpasar	Indonesia	WADD
DQH	8273	Douglas Municipal Airport	Douglas	United States	KDQH
DRA	11831	Desert Rock Airport	Mercury	United States	KDRA
